RestaurantID,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
eaPm1uzrmy26P_T-l5iZCA,Shake Shack,american,3,292,200 Broadway,10007,40.7108625472883,-74.0087379693942,False,05/03/2020 11:53:08
hm3WCg3YFGPG-rEAMxpBGg,Pret A Manger,american,3.5,79,179 Broadway,10007,40.71018,-74.01004,False,05/03/2020 11:53:08
iAUKLrlcat8OO6B5T5yYSA,Cooper Town Diner,american,3,91,339 1st Ave,10009,40.734895,-73.98022,False,05/03/2020 11:51:41
ff9ZYWbWVBU6GL9fW3PPiw,Doc Holliday's,american,3.5,265,141 Ave A,10009,40.7272274,-73.9828253,False,05/03/2020 11:52:05
-p7dvuKa91_4B-aiFIFB8Q,Ten Degrees Bar,american,4,824,121 St Marks Pl,10009,40.72692,-73.98342,False,05/03/2020 11:52:05
KwPwhRfnoVZwu7ztfzPSPA,Horus Café on A,american,3,348,293 E 10th St,10009,40.727917,-73.982006,False,05/03/2020 11:52:05
fk3-pMDXesluqvPOTyRJgQ,Augurs Well,american,4,110,115 St Marks Pl,10009,40.7271194,-73.9836121,False,05/03/2020 11:52:05
dv4mMmbCAb7FtUj1Md-K6Q,East Village Social,american,4,145,126 St Marks St,10009,40.726841,-73.9837265,False,05/03/2020 11:52:05
tf3RVircY9-8adku41N6VQ,Superiority Burger,american,4,603,430 E 9th St,10009,40.72739,-73.98355,False,05/03/2020 11:52:05
2n01u4yKfIrWuOzRVvIZmw,Crif Dogs,american,4,2098,113 Saint Marks Pl,10009,40.727157,-73.983718,False,05/03/2020 11:52:05
aiRctIzCj9J3UqBHd-Z3HQ,Please Don't Tell,american,4,1798,113 St Marks Pl,10009,40.727098,-73.983763,False,05/03/2020 11:52:05
eN-OHMPod8iJjzpgYS3LKw,St Dymphnas,american,3.5,187,117 Ave A,10009,40.726444,-73.98361,False,05/03/2020 11:52:05
V96jTnFqErW8sDrzpz1Apg,Odessa Restaurant,american,3.5,357,119 Ave A,10009,40.7263299864,-73.9834847979,False,05/03/2020 11:52:05
n8p5g3-Fu1RBKx35QhiaXg,Bua,american,4,517,122 St Marks Pl,10009,40.7268537,-73.9838067,False,05/03/2020 11:52:05
eUXQ5252nnkepDM9q2ZNCA,Avenue A Classic Food,american,4,12,115 Ave A,10009,40.72638,-73.98365,False,05/03/2020 11:52:05
AgAkUVLN_axMY-bzbNCfCw,Yuca Bar,american,4,1780,111 Avenue A,10009,40.7262,-73.9836,False,05/03/2020 11:52:05
sVG1whNWHhlbjP6p027YcA,Brindle Room,american,4,1026,277 E 10th St,10009,40.72829,-73.98271,False,05/03/2020 11:52:05
fFkqEyupjc5x2iJQIPcpLw,Ruffian,american,4.5,210,125 E 7th St,10009,40.7264,-73.98411,False,05/03/2020 11:52:05
3idAtiEXe_XfTcPoZC_DcQ,Westville East,american,4,1032,173 Ave A,10009,40.72847,-73.98213,False,05/03/2020 11:52:05
3V20VbC45XL4TBYTL9DrOg,David's Cafe,american,4,195,110 St Marks Pl,10009,40.7269310030458,-73.9843428879976,False,05/03/2020 11:52:05
jvPYm9rYK-5ddnjU30Oz4Q,Avant Garden,american,4.5,325,130 E 7th St,10009,40.7261499,-73.98402,False,05/03/2020 11:52:05
Qd2fk2Kc5IjMrICXtjkuKA,Hayaty NYC,american,3.5,153,103 Ave A,10009,40.7259195,-73.9838009,False,05/03/2020 11:52:05
OaLbgr9ardChJ90u16Ik9g,Kazuza,american,4,487,107 Ave A,10009,40.72602,-73.98393,False,05/03/2020 11:52:05
W4hobe10Fy54MKqmLaObEg,Cafe Mogador,american,4,1894,101 St Marks Pl,10009,40.727258767439,-73.9845085144043,False,05/03/2020 11:52:05
Cw8g99c6ybhsbrTCgI5S_Q,Proletariat,american,4,293,102 St Marks Pl,10009,40.7272506368689,-73.9845192432404,False,05/03/2020 11:52:05
QHurDPvtdeq3_KGTbBd-6A,Pyramid Club,american,3.5,273,101 Ave A,10009,40.72579,-73.98391,False,05/03/2020 11:52:05
