RestaurantID,Cuisine
h7NKTJQy8ePP_yPlj5iUoA,pizza
jve0o4_2_YIOPiVjKvXqTw,american
YS21bp9Wp715X75r7eTzxw,mexican
JYbrQqYd-8iGBWIAAHKBRA,brunch
Ea2kgAIGHoVQA8t9wL-RKw,american
Zjj9gxL2VJg2drQZ_CouZQ,korean
6qnWAPjJ7UER4QLCtotyBw,american
P0bqBzB0zn9WAPP2nidxNg,american
vk3ilGNArYA1r5nroLyJCA,american
kM96WKoW1glLP94DYfFXeQ,italian
ry7XCoXXxS0DxRmzZLFybw,mexican
iSD5QHURPylVUNWJjv50Pg,pizza
XGdUYzkPkX94RoLlPDymeQ,mexican
aPThNhqjq5rfN9c8ykcarA,chinese
vN1CYP0WNSPfdmZAstfdOg,mexican
_cA7qLZsNR5svGyFL6YseQ,mexican
hFLwUehr6VL1wM76XysqRQ,chinese
hR7_M9S7nSfv_z0R1BWOCw,american
Q10FeFs1mtNchv1NbNcsLg,mexican
VzdToJAHuLY07TlXZTdIwA,mexican
YHPs7v1oWco11843J5Nt_Q,brunch
qwUPVBeV6oLdiCKHQvru5w,brunch
SSCbDzX4e11kpojBWeFWfQ,pizza
dDXtga5Kgo5B1twdezcZJA,chinese
MulJEe-IjptlsWI4H_oxNA,american
4UxmxAqehEIh7fYrzUEA7A,mexican
c1HgKFOT4Cc7TqWQD5mQBQ,chinese
ItocvsIyniVxMARBkHZaoA,indian
1A2-oW9IRHSzVzo-iouI3g,pizza
s6NjuiNtX0HU3viSNAm6ug,healthy
trkn76h8vQeB8kCUgHJyuw,indian
ECbvfMyJMd2SpNRb_01I5A,american
GlTdgd8780RNXLvz8bTmFg,american
YYnZ5nA1CVXpNCtlLA7nHQ,american
kNOr6_g6QfBHdhf89j3g5w,brunch
t6TzNUUY2ez6s-GYOLs4VA,american
69x16O-YCkkbbxFiWCrEvQ,american
0Q3xCYWK2N-wJfXjLa9dFg,american
5Ota_iMwlPLPrap-KfQrgw,mexican
aczqK-esIyqhyk7QLqcc1A,indian
DRitJoNGTkHXZvH_YpLIAw,american
V_5IS9PY4tjmYk95lDWfgg,mexican
tAU5fHfSjQs3hDjMm40iPQ,brunch
C-qsaCzeaFIsLrupYt4ZQA,american
vnf1WSV7dTmOeOkIJ46hiw,indian
Vv38T5zv21nlzzfEVr9Cdg,american
JvV8sTgUX6abRQPzb3hLgg,indian
iPc-zPgcpgeSo76xl5Jbpw,korean
l1n_KhFcFJs5YAxudRDNFg,american
AV9x0hUE0yQUMjUGQNPexQ,italian
igcUHNvsKc-s-RtvUmkg2w,korean
tJFxGZ5OcRPs90QEq8mWgw,pizza
L9N9O2u_M9Daby9_myK4Yg,chinese
4gbxHH_yUr8cd6StJw0EwA,healthy
hQwaJ8ZSI7w-SKreogRkjw,chinese
nBoOm-TAhRvbcDkHfKOwGg,indian
K_s7EXV9Ly5jlxyNZ39QDg,indian
bOHWY14f1u8rR1t2ggmbYw,american
Bh1JBgQWZl9zct46uw_FzQ,italian
4wyPdXX96e0akxvCp268iw,brunch
VZq7ZKqOxqTFzhdEc9E80A,american
7bD22UAtH56ikWYslOSIQg,mexican
KS0aRZlR9j4IwlsFo1_VkQ,korean
0on-dzMpBki-qDa18pjF5A,american
32VbG_XgkZIuye0PV-BxaA,pizza
pPdGUL90xZ7YIUvTLYcmIw,american
RxNGXU0kiyir1zaCxjEsKQ,brunch
aThptXSMEo3g2a1KAuu4jg,pizza
GazJ5_JArwtAacygzxqDIQ,korean
B6bEkY9sJ_GU2pD2Rwb4gg,mexican
3RKrKV8eearo2zJPr3OO1g,pizza
j9tAoiEsgSS85QV04pY3lQ,mexican
cS2P3NXGGAH1mCBjevR_6Q,italian
NBgDoMiF4tj5aS7V7zayoA,italian
xGoSAOhQBNdJMJmPn7CMDQ,mexican
tCuPhpmf1PaYe5dmwdq8Ew,mexican
jxfNkW2RkXhUW5_DwWEbHQ,brunch
vELB-YD3_jdRHvRVXJScRA,american
e8C2mJjAmk0YWQx_Q0NN3w,mexican
UiG3MlLDMMZp31XDBM2kvA,indian
BKMCAYb9EAivUm3p-vrC9w,brunch
R6cdgEFQwu0vDllP5tEWUQ,mexican
Nf6AdXjwRis6K9Os6L3zJw,pizza
YvUzv_3yrkarui6r8nwldQ,american
9OUXhF3r1CVF8jahUanMbg,mexican
92vOHinyRpz2GI_clH8-uQ,american
F3mRjSCTKlA1qj7OiRikiQ,indian
MxUNd_emdI0lrULV5vtV7g,pizza
S-jThCG_S-7_xtm75nkB2Q,chinese
Lu12ks-BgqfGY75Sb1004A,pizza
7-Rr97T-mcgVvL1yTTCAXg,healthy
gymgQ5S_83IxaAtH0cJMsA,healthy
8b0iC1j499IEmy8a4IVyog,mexican
Ck4qyOc_m6uxz0uC3l-NTA,mexican
Ne8YgCoxkIORGf4e-_DrFQ,pizza
NaHrYSAalDJrvRWeA-NXvA,pizza
1TLoaB7SXJZo3W5f4OGm8w,healthy
hGo9KArKThuOKxNbwmNpoA,american
orvnuNWLuoE3-iEx4Aj8eA,pizza
BPyt7S9TdcR1u571iacg7g,indian
vODvsWDPppO5-AoKpjcQ8w,chinese
NQFnGmb0xuuT18easygZZg,mexican
aSDGr4NIfm1C6IspWSNaQw,brunch
u8mQ5BU8dKL5zuSv3_ZzJg,healthy
MeyBDyi-wxPm9ytY9Npalw,indian
lpLd3AFaMOV7LfPtvUiq8A,chinese
EpHRWT8KCweAxkYb4AquMQ,pizza
EPHhPGDFvnq2ARTBxAikuw,indian
U3hvDT5CtQrnpg2zhJg3mQ,indian
WqjqHMozyW42XLTtLnKGag,american
4X7Vi_iVbpI_w0oYW_ao3Q,korean
iSiOfm9CdUhbS0eDHPHUNA,indian
neQM053ovAOrf1sVSAPI9w,chinese
BJBa4cOUkPdVilj41La_yw,pizza
l29pVn4RfU9xYMggiIVOcg,brunch
yEPaW2QZhY6Z2cYTuyFUig,brunch
7_NCS8bQ8UA_nEANIWm-hQ,indian
mtmEa4vFYa764G97sqQ9dQ,pizza
1ozuYD1HTa4u2F_NR9uUJg,korean
ir1jLDagZiMaHo7My4oUDg,mexican
wXpCNNTT2kqh-fTnSWXdEA,american
AsCEdN4DlJsfIvA3H_jrAw,american
AARX21qWWgGK7KsJM_3ZCA,korean
zi4fUgOwwGB5PYR2xq0OCQ,indian
nAcVK-Y1_ojsRF_04o-x-A,chinese
r-Ugfs11uNxi19_-VHWf5A,american
KHxfOFf3FzYXJKI8SQx5MA,korean
iXmDaPsgylG1kHPLli15MQ,korean
Rbm8W3kgisxD0KVk_HKIBw,pizza
GfLL6-n6UNZ07SEHfjeIgA,chinese
J0toV5NSvtQ0gmfZtswTdw,american
HotAOU7WRHZcxpppEDwnfg,mexican
EKkHfSYTm266-ZBve3SdgA,korean
o-KRgyTJoM4EM-K-rwe86w,mexican
sQw7aEos_0FmO0UFtrJokg,chinese
pQJ-kFGPGaX_KQX5_XaIrQ,pizza
6kCo3xb87Sc3Aa5ZSWzNnw,chinese
1Ed-tb_0dBGrXfsYyehmvg,korean
